Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL per gli addetti e responsabili del servizio di prevenzione e protezione ed a mansioni specifiche sulla sicurezza nei luoghi di lavoro";"Testo definitivo";"Altri Vari";"AIRFOR; UNIL";"25/09/2025";"20/11/2025";"";"19/11/2028";"SERVIZIO DI PREVENZIONE E PROTEZIONE E SICUREZZA NEI LUOGHI DI LAVORO"
"CCNL aziende del settore METALMECCANICO ARTIGIANO";"Testo definitivo";"Meccanici";"FEDERNETWORK; SINDACATO POPOLO DELLA RETE";"19/09/2025";"01/07/2025";"";"30/06/2028";"METALMECCANICA: artigiani (FEDERNETWORK)"
"CCNL per i lavoratori dipendenti delle aziende dei settori del legno, arredamento, mobili, escavazione e lavorazione di materiali lapidei - testo coordinato con le modifiche introdotte dall'Accordo integrativo e di rinnovo del 15/10/2025";"Testo definitivo";"Edilizia";"UNILAVORO PMI; SIFA; ANIFA; CONFSAL FISALS";"15/10/2025";"15/10/2025";"";"15/10/2028";"Settori LEGNO, ARREDAMENTO, MOBILI, ESCAVAZIONE E LAVORAZIONE DEI MATERIALI LAPIDEI (UNILAVORO PMI)"
"CCNL per i dipendenti delle imprese del comparto della bellezza e del servizio alla persona";"Testo definitivo";"Commercio";"CONFIMPRESEITALIA; VALITALIA PMI; AIFOS; ASSOESERCENTI; ITALPMI; UCI; UNCI; FESICA";"06/10/2025";"01/10/2025";"";"30/09/2028";"Bellezza e Servizio alla Persona: imprese"
"CCNL per il personale dipendente che opera presso le scuole private di lingua inglese e lingue moderne aderenti alle associazioni AISLI e AIBSE";"Testo definitivo";"Enti e Istituzioni Private";"AISLI; AIBSE; UGL Scuola; UGL";"15/10/2025";"01/09/2025";"";"31/08/2028";"SCUOLE PRIVATE DI LINGUA INGLESE E LINGUE MODERNE"
"DPR 24 marzo 2025, n. 52 - Recepimento dell'accordo sindacale relativo al triennio 2022-2024 per il personale delle Forze armate";"Testo definitivo";"Amministrazione Pubblica";"DELEGAZIONE DI PARTE PUBBLICA; SIAMO EI; ASPMI; LRM; USMIA; SAM; SINAM; SIM MM; AMUS AM; SIAM; SIULM";"24/03/2025";"01/01/2022";"";"31/12/2024";"FORZE ARMATE (Esercito - Marina - Aeronautica)"
"DPR 24 marzo 2025, n. 53 - Recepimento degli accordi sindacali relativi al triennio 2022-2024 per il personale delle Forze di polizia ad ordinamento civile e militare";"Testo definitivo";"Amministrazione Pubblica";"Delegazione di parte pubblica; SIULP; SAP; SIAP; FSP Polizia di Stato - ES - LS - CONSAP -MP; Federazione COISP - MOSAP; SILP CGIL; SAPPE; SINAPPE; OSAPP; UILPA PP; USPP; CISL FNS; SIM CC; USIC; PSC ASSIEME; UNARMA; NSC; SIUL CC; USMIA; USIF; SINAFI - CGS; SILF";"24/03/2025";"01/01/2022";"";"31/12/2024";"FORZE DI POLIZIA AD ORDINAMENTO MILITARE: personale non dirigente"
"DPR 24 marzo 2025, n. 53 - Recepimento degli accordi sindacali relativi al triennio 2022-2024 per il personale delle Forze di polizia ad ordinamento civile e militare";"Testo definitivo";"Amministrazione Pubblica";"Delegazione di parte pubblica; SIULP; SAP; SIAP; FSP Polizia di Stato - ES - LS - CONSAP -MP; Federazione COISP - MOSAP; SILP CGIL; SAPPE; SINAPPE; OSAPP; UILPA PP; USPP; CISL FNS; SIM CC; USIC; PSC ASSIEME; UNARMA; NSC; SIUL CC; USMIA; USIF; SINAFI - CGS; SILF";"24/03/2025";"01/01/2022";"";"31/12/2024";"FORZE DI POLIZIA AD ORDINAMENTO CIVILE: personale non dirigente"
"DPR 23 giugno 2025, n. 125 - Recepimento dell'accordo sindacale per il  personale non direttivo e non dirigente del Corpo Nazionale dei VIGILI del FUOCO per il triennio 2022-2024";"Testo definitivo";"Amministrazione Pubblica";"Delegazione di parte pubblica; CONAPO; FNS CISL; UIL PA VVF; CONFSAL VVF";"23/06/2025";"01/01/2022";"";"31/12/2024";"VIGILI DEL FUOCO"
"DPR 23 giugno 2025 n. 124 - Recepimento dell'accordo sindacale per il  personale direttivo e dirigente del Corpo Nazionale dei VIGILI del FUOCO (triennio 2022-2024)";"Testo definitivo";"Amministrazione Pubblica";"Delegazione di parte pubblica; FNS CISL; UILPA VVF; FEDERDISTAT VVF E FC; CONFSAL VVF; CONAPO; AP VVF; SINDIR VVF";"23/06/2025";"01/01/2022";"";"31/12/2024";"VIGILI DEL FUOCO: direttivi e dirigenti"
"Sequenza contrattuale ENAC ad integrazione del CCNL del personale del Comparto Funzioni Centrali del 09 maggio 2022";"Verbale integrativo";"Amministrazione Pubblica";"ARAN; CISL FP; CISL; FP CGIL; CGIL; UIL PA; UIL; CONFSAL UNSA; CONFSAL; FLP; CGS; USB PI; USB; CONFINTESA FP; CONFINTESA";"16/06/2025";"";"";"";"Comparto FUNZIONI CENTRALI"
"Contratto di interpretazione autentica dell'art. 17, comma 8, terzo periodo, del CCNL del Comparto Funzioni Centrali 2022-2024, sottoscritto il 27 gennaio 2025, concernente la decorrenza della disciplina del diritto all'incarico di posizione organizzativa";"Verbale integrativo";"Amministrazione Pubblica";"ARAN; CISL FP; CISL; CONFSAL UNSA; CONFSAL; FLP; CGS; CONFINTESA FP; CONFINTESA";"29/09/2025";"";"";"";"Comparto FUNZIONI CENTRALI"
"CCNL intersettoriale - Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo - testo coordinato che recepisce le integrazioni degli accordi integrativi del 23/09/2025 e del 20/10/2025";"Testo definitivo";"Commercio";"CIFA; CONFSAL Federlavoratori; CONFSAL";"20/10/2025";"01/10/2025";"";"31/05/2025";"INTERSETTORIALE: Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo"
"Stesura definitiva del CCNL per i lavoratori dipendenti delle imprese artigiane e delle piccole e medie imprese industriali dell'edilizia e affini del 20 maggio 2025";"Testo definitivo";"Edilizia";"ANAEPA CONFARTIGIANATO EDILIZIA; CNA COSTRUZIONI; FIAE CASARTIGIANI; CLAAI EDILIZIA; FENEAL UIL; FILCA CISL; FILLEA CGIL";"15/10/2025";"01/05/2025";"";"30/09/2028";"EDILI: Artigiane"
"CCNL per la disciplina dei rapporti fra le imprese di assicurazione e il personale dipendente non dirigente";"Testo definitivo";"Credito Assicurazioni";"ANIA; FIRST CISL; FISAC CGIL; FNA; SNFIA; UILCA";"22/02/2017";"22/02/2017";"";"31/12/2019";"ASSICURAZIONI: Dipendenti (ANIA)"
"CCNL relativo al personale del Comparto Sanità";"Testo definitivo";"Amministrazione Pubblica";"ARAN; CISL FP; CISL; FIALS; CONFSAL; NURSIND; CGS; NURSING UP; CSE";"27/10/2025";"01/01/2022";"";"31/12/2024";"Comparto SANITA'"
"CCNL relativo al personale dell'Area Funzioni Centrali triennio 2022-2024";"Testo definitivo";"Amministrazione Pubblica";"ARAN; CISL FP; CISL; ANMI ASSOMED SIVEMP FPM; COSMED; CIDA FC; CIDA; FLEPAR; CODIRP; UIL PA; UIL; UNADIS; CONFDAS; DIRSTAT FIALP UNSA; CONFEDIR";"28/10/2025";"01/01/2022";"";"31/12/2024";"AREA FUNZIONI CENTRALI: Dirigenti"
"CCNL del personale del comparto autonomo della Presidenza del Consiglio dei Ministri relativo al triennio 2019-2021";"Testo definitivo";"Amministrazione Pubblica";"ARAN; SNAPRECOM; CISAL; USB PI; USB; CISL FP; CISL; FLP; CSE; SIPRE; USAE";"28/10/2025";"01/01/2019";"";"31/12/2021";"PRESIDENZA DEL CONSIGLIO DEI MINISTRI"
"Accordo di rinnovo economico del CCNL Multiservizi";"Accordo economico";"Aziende di Servizi";"CONFLAVORO PMI; CONFSAL; FESICA";"27/10/2025";"01/10/2025";"";"";"MULTISERVIZI (CONFLAVORO PMI - CONFSAL)"
"Accordo di rinnovo economico del CCNL IGIENE AMBIENTALE - Aziende Private e Municipalizzate";"Accordo economico";"Aziende di Servizi";"CONFLAVORO PMI; CONFSAL; FESICA";"27/10/2025";"01/10/2025";"";"";"PULIZIA: Igiene Ambientale (CONFLAVORO PMI - CONFSAL)"
"Accordo di rinnovo economico del CCNL per la distribuzione delle merci, della logistica e dei servizi privati";"Accordo economico";"Trasporti";"CONFLAVORO PMI; CONFSAL; FESICA";"27/10/2025";"01/10/2025";"";"";"DISTRIBUZIONE MERCI, LOGISTICA E SERVIZI PRIVATI"
"Accordo di rinnovo economico del CCNL addetti all'industria metalmeccanica privata e alla installazione impianti";"Accordo economico";"Meccanici";"CONFLAVORO PMI; CONFSAL; FESICA";"27/10/2025";"01/10/2025";"";"";"METALMECCANICA: Industria (CONFLAVORO PMI)"
"Accordo di rinnovo economico del CCNL per gli addetti alla Piccola e Media Industria Metalmeccanica, Orafa e alla Installazione Impianti";"Accordo economico";"Meccanici";"CONFLAVORO PMI; CONFSAL; FESICA";"27/10/2025";"01/10/2025";"";"";"METALMECCANICA: P.M.I. (CONFLAVORO PMI)"
"CCNL per il personale direttivo - docente - non docente delle istituzioni di alta cultura, università ed accademie legalmente riconosciute";"Testo definitivo";"Enti e Istituzioni Private";"FIINSEI; CONFIMPRESEITALIA; CIU UNIONQUADRI; CONFAL SCUOLA";"28/10/2025";"01/09/2025";"";"31/08/2028";"ISTITUZIONI DI ALTA CULTURA, UNIVERSITA' ED ACCADEMIE LEGALMENTE RICONOSCIUTE"
"CCNL Scuola non Statale per il personale direttivo, docente, non docente delle istituzioni scolastiche paritarie";"Testo definitivo";"Enti e Istituzioni Private";"FIINSEI; CONFIMPRESEITALIA; CIU UNIONQUADRI; CONFAL SCUOLA";"28/10/2025";"01/09/2025";"";"31/08/2028";"SCUOLE NON STATALI (Fiinsei-Confimpreseitalia)"
"Accordo di integrazione del CCNL per le imprese e i lavoratori dipendenti delle cooperative esercenti attività disciplinata dalle norme vigenti in materia di distribuzione cooperativa, cooperative di consumo e servizi, nonché dei servizi correlati e collegati, richiesti dalla committenza, sia pubblica che privata";"Accordo economico";"Commercio";"UNICOOP; UGL TERZIARIO; UGL";"22/10/2025";"01/10/2025";"";"31/12/2026";"DISTRIBUZIONE COOPERATIVA, COOPERATIVE DI CONSUMO E SERVIZI (UNICOOP)"
"Accordo collettivo nazionale per la disciplina dei rapporti con le farmacie pubbliche e privatedi cui all'art. 8, comma 2, del D. Lgs.30 dicembre 1992, n. 502 e successive modifiche  e integrazioni";"Testo definitivo";"Amministrazione Pubblica";"SISAC; FEDERFARMA; ASSOFARM";"06/03/2025";"06/03/2025";"";"05/03/2028";"SANITA': Farmacie pubbliche e private"
"Verbale di accordo per il rinnovo del CCNL per i lavoratori dipendenti della piccola e media industria alimentare scaduto il 31 ottobre 2024";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"UNIONALIMENTARI CONFAPI; CONFAPI; FAI CISL; FLAI CGIL; UILA UIL";"28/05/2025";"01/11/2024";"";"31/10/2028";"ALIMENTARISTI: P.M.I."
"Verbale di rettifica all'accordo per il rinnovo del CCNL per i lavoratori dipendenti della piccola e media industria alimentare del 28 maggio 2025";"Verbale integrativo";"Alimentaristi - Agroindustriale";"UNIONALIMENTARI CONFAPI; FAI CISL; FLAI CGIL; UILA UIL";"06/06/2025";"";"";"";"ALIMENTARISTI: P.M.I."
"Accordo di adesione di Unilavoro PMI e Confsal Fisals al CCNL per i lavoratori dipendenti del settore Igiene Ambientale Aziende Private";"Verbale integrativo";"Aziende di Servizi";"CONFIMITALIA; CONFAEL; SNALP; CONFEPI; UNILAVORO PMI; CONFSAL FISALS";"30/10/2025";"01/11/2025";"";"30/06/2028";"PULIZIA: Igiene Ambientale delle Aziende Private (CONFIMITALIA)"
"CCNL per il personale dipendente del Settore Domestico";"Testo definitivo";"Commercio";"FMPI; ARCO; CONFASI";"03/11/2025";"05/10/2024";"";"04/10/2027";"Settore DOMESTICO (FMPI)"
"CCNL per i lavoratori addetti alle MPMI del settore dell'industria metalmeccanica - informatori scientifici ed alle imprese di installazione di impianti";"Testo definitivo";"Meccanici";"UNIMPRESA; UNIMPRESA INDUSTRIA; UNIMPRESA Impianti e Nuove Tecnologie; UNIAP; ASSIDAL; AIFECS; CONFAIL; SALM; CIU UNIONQUADRI";"30/10/2025";"01/11/2025";"";"31/10/2028";"METALMECCANICA: MPMI (UNIMPRESA-CONFAIL)"
"CCNL per i lavoratori agricoli e florovivaisti";"Testo definitivo";"Agricoltura";"FEDERDAT; AEP: CIU UNIONQUADRI; UCI; CONFIAL; FLAITS; UIC; CONSIL";"28/10/2025";"01/11/2025";"";"31/10/2028";"AGRICOLTURA: Operai e Florovivaisti (FEDERDAT-CONSIL)"
"Accordo sull'indennità di vacanza contrattuale CCNL per i dipendenti di Studi Professionali che amministrano condomini o immobili Società di Servizi Integrati alla proprietà immobiliare";"Accordo economico";"Commercio";"ANACI; SACI; CISAL TERZIARIO";"31/10/2025";"01/10/2025";"";"";"STUDI PROFESSIONALI O SOCIETA' AMMINISTRATORI CONDOMINIO"
"Testo coordinato del CCNL per i quadri direttivi e per il personale delle aree professionali delle Banche di Credito Cooperativo - Casse Rurali ed Artigiane del 9 luglio 2024";"Testo definitivo";"Credito Assicurazioni";"FEDERCASSE; FABI; FIRST CISL; FISAC CGIL; UGL CREDITO; UILCA UIL";"19/12/2024";"09/07/2024";"";"31/12/2025";"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo"
"Testo Coordinato del CCNL per i dirigenti delle banche di credito cooperativo - casse rurali ed artigiane del 30 novembre 2023";"Testo definitivo";"Credito Assicurazioni";"FEDERCASSE; FABI; FIRST CISL; FISAC CGIL; UGL CREDITO; UILCA UIL";"19/12/2024";"30/11/2023";"";"31/12/2025";"BANCARI: Casse Rurali e Artigiane - Credito Cooperativo - Dirigenti"
"Ipotesi di Accordo per il rinnovo del CCNL per i dipendenti della Piccola e Media Industria MODA - CHIMICA CERAMICA - DECORAZIONE PIASTRELLE IN TERZO FUOCO";"Accordo di rinnovo";"Altri Vari";"CNA Federmoda; CNA Produzione; CNA Artistico e Tradizionale; CONFARTIGIANATO Moda; CONFARTIGIANATO Chimica; CONFARTIGIANATO Ceramica; CASARTIGIANI; CLAAI; FILCTEM CGIL; FEMCA CISL; UILTEC UIL";"21/10/2025";"01/01/2023";"";"31/12/2026";"MODA, CHIMICA CERAMICA E DECORAZIONE PIASTRELLE IN 3° FUOCO (PMI)"
"CCNL per i dipendenti RINA";"Accordo di rinnovo";"Trasporti";"ENTE REGISTRO ITALIANO NAVALE; RINA SPA; RINA SERVICES SPA; RINA CHECK SRL; RINA CONSULTING SPA; RINA CONSULTING GET SRL; RINA AGRIFOOD SPA; FILT CGIL; FIT CISL; UIL TRASPORTI";"13/10/2025";"01/01/2026";"";"31/12/2028";"RINA (Ente Registro Italiano Navale)"
"CCNL per il settore del commercio, turismo e servizi terziari";"Testo definitivo";"Commercio";"FMPI; ARCO; CONFASI";"03/11/2025";"03/11/2025";"";"31/12/2027";"COMMERCIO, TURISMO E SERVIZI TERZIARI"
"CCNL Ricerca Clinica";"Testo definitivo";"Enti e Istituzioni Private";"CONFLAVORO PMI; CONFINTESA; CONFINTESA SANITA'";"19/11/2025";"01/11/2025";"";"31/10/2028";"RICERCA CLINICA"
"Verbale di accordo ponte per il 2025 CCNL per gli imbarcati su natanti di cooperative di pesca";"Verbale integrativo";"Alimentaristi - Agroindustriale";"AGCI AGROALIMENTARE; CONFCOOPERATIVE FEDAGRIPESCA; LEGACOOP AGROALIMENTARE; FAI CISL; FLAI CGIL; UILAPESCA";"27/10/2025";"01/01/2025";"";"31/12/2025";"PESCA MARITTIMA: Cooperative"
"CCNL STEM e Professioni Innovative";"Testo definitivo";"Altri Vari";"FEDERITALY; Federazione STEM; CSE; CIU UNIONQUADRI; SNING";"19/11/2025";"01/01/2026";"";"31/12/2028";"STEM e Professioni Innovative"
"Ipotesi di Accordo di rinnovo del CCNL 12 aprile 2023 e successive modifiche per i dirigenti di aziende del terziario, della distribuzione e dei servizi";"Accordo di rinnovo";"Commercio";"CONFCOMMERCIO Imprese per l'Italia; MANAGERITALIA";"05/11/2025";"01/01/2026";"";"31/12/2028";"COMMERCIO E SERVIZI: Dirigenti"
"Integrazione all'Ipotesi di Accordo del 5 novembre 2025 di rinnovo del CCNL 12 aprile 2023 e successive modifiche per i dirigenti di aziende del terziario, della distribuzione e dei servizi";"Verbale integrativo";"Commercio";"CONFCOMMERCIO Imprese per l'Italia; MANAGERITALIA";"12/11/2025";"01/01/2026";"";"";"COMMERCIO E SERVIZI: Dirigenti"
"CCNL per i dipendenti delle cooperative sociali e loro consorzi";"Testo definitivo";"Enti e Istituzioni Private";"UNCI; AIFOS; ASSOESERCENTI; CONFIMPRESEITALIA; ITALPMI; UCI; VALITALIA PMI; FESICA";"25/11/2025";"01/12/2025";"";"30/11/2028";"COOPERATIVE SOCIALI E LORO CONSORZI"
"Accordo di adesione di Unilavoro PMI al CCNL per i dipendenti di Centri Elaborazione Dati (CED), imprese ICT, professioni digitali e STP";"Verbale integrativo";"Commercio";"ASSOCED; UGL TERZIARIO; UNILAVORO PMI";"17/11/2025";"01/12/2025";"";"31/08/2028";"CENTRI DI ELABORAZIONE DATI"
"Accordo di adesione al CCNL 5 febbraio 2021 per l'industria metalmeccanica e della installazione di impianti";"Accordo di rinnovo";"Meccanici";"FEDERMECCANICA; ASSISTAL; UGL METALMECCANICI (per adesione)";"22/12/2021";"22/12/2021";"";"30/06/2024";"METALMECCANICA: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL vigilanza privata e servizi di sicurezza";"Accordo di rinnovo";"Commercio";"ANIVP; ASSIV; UNIV; LEGACOOP PRODUZIONE E SERVIZI; AGCI SERVIZI; CONFCOOPERATIVE LAVORO E SERVIZI; FILCAMS CGIL; FISASCAT CISL; UILTUCS UIL";"30/05/2023";"01/06/2023";"";"31/05/2026";"VIGILANZA"
"CCNL FINTECH";"Testo definitivo";"Altri Vari";"CONFIMPRENDITORI; APSP; ASSOFINTECH; FISMIC CONFSAL; CIU UNIONQUADRI; UNSIAU";"02/12/2025";"02/12/2025";"";"31/12/2028";"FINTECH"
"CCNL per il personale amministrativo e produttivo delle agenzie di assicurazione in gestione libera aderenti all'Associazione nazionale agenzie societarie Unipol Assicurazioni e alla Lega Nazionale Cooperative e Mutue";"Testo definitivo";"Credito Assicurazioni";"ASSOCIAZIONE AGENZIE SOCIETARIE UNIPOL; FISAC CGIL; UILCA UIL";"27/11/2025";"01/01/2023";"";"31/12/2025";"ASSICURAZIONI: Agenzie Societarie UNIPOL-LEGACOOP"
"CCNL per i dipendenti del settore industriale della valorizzazione dei materiali della produzione e del commercio di materie prime secondarie - end of waste";"Testo definitivo";"Altri Vari";"ANPIT; UNIRIMA; ATECA; CISAL TERZIARIO; FIADEL CISAL; CISAL";"15/12/2025";"01/01/2026";"";"31/12/2028";"VALORIZZAZIONE DEI MATERIALI DELLA PRODUZIONE E COMMERCIO DI MATERIE PRIME SECONDARIE - END OF WASTE"
"Accordo integrativo del CCNL Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo";"Verbale integrativo";"Commercio";"CIFA; CONFSAL Federlavoratori; CONFSAL";"18/11/2025";"";"";"";"INTERSETTORIALE: Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo"
"Ipotesi di accordo per il rinnovo del CCNL per il personale dipendente da imprese esercenti servizi di telecomunicazione";"Accordo di rinnovo";"Aziende di Servizi";"ASSOTELECOMUNICAZIONI ASSTEL; SLC CGIL; FISTEL CISL; UILCOM UIL";"11/11/2025";"11/11/2025";"";"31/12/2028";"TELECOMUNICAZIONI"
"Ipotesi di accordo per il rinnovo del CCNL per il personale dipendente da imprese esercenti servizi di telecomunicazione";"Accordo di rinnovo";"Aziende di Servizi";"ASSOTELECOMUNICAZIONI ASSTEL; UGL TELECOMUNICAZIONI";"11/11/2025";"11/11/2025";"";"31/12/2028";"TELECOMUNICAZIONI"
"Accordo di rinnovo del CCNL per i dipendenti di Studi Professionali che amministrano condomini o immobili, Società di Servizi Integrati alla proprietà immobiliare";"Accordo di rinnovo";"Commercio";"SACI; ANACI; CISAL TERZIARIO";"12/12/2025";"01/01/2026";"";"31/12/2028";"STUDI PROFESSIONALI O SOCIETA' AMMINISTRATORI CONDOMINIO"
"CCNL per i dipendenti del turismo e pubblici esercizi";"Testo definitivo";"Commercio";"CONFIMPRESEITALIA; CONFIMPRESE DEMANIALI; AIFOS; ASSOESERCENTI; ITALPMI; UCI; UNCI; VALITALIA PMI; FESICA";"15/12/2025";"01/12/2025";"";"30/11/2028";"TURISMO: micro piccole medie imprese del settore - CONFIMPRESEITALIA-CONFSAL"
"Ipotesi di accordo per il rinnovo del CCNL servizi di pulizia e servizi integrati/multiservizi";"Accordo di rinnovo";"Aziende di Servizi";"AGCI SERVIZI; CONFCOOPERATIVE LAVORO E SERVIZI; LEGACOOP PRODUZIONE E SERVIZI; UNIONSERVIZI CONFAPI; FILCAMS CGIL; FISASCAT CISL; UILTRASPORTI UIL";"13/06/2025";"01/06/2025";"";"31/12/2028";"PULIZIA: Imprese"
"Accordo integrativo all'accordo di rinnovo del CCNL servizi di pulizia, servizi integrati/multiservizi del 13 giugno 2025";"Accordo economico";"Aziende di Servizi";"AGCI SERVIZI; CONFCOOPERATIVE LAVORO E SERVIZI; LEGACOOP PRODUZIONE E SERVIZI; UNIONSERVIZI CONFAPI; FILCAMS CGIL; FISASCAT CISL; UILTRASPORTI UIL";"06/08/2025";"";"";"";"PULIZIA: Imprese"
"CCNL per i dipendenti da imprese della distribuzione cooperativa (terziario, distribuzione e servizi)";"Testo definitivo";"Commercio";"FEDERDAT; CONSIL; FLAITS; CIU UNIONQUADRI";"02/12/2025";"01/12/2025";"";"30/11/2028";"DISTRIBUZIONE COOPERATIVA (FEDERDAT)"
"CCNL per i dipendenti da famiglie e datori di lavoro domestico - Colf, Badanti e Baby Sitter";"Testo definitivo";"Commercio";"FNUA CASERTA; ASSIDALDEF; CONF SELP; SEI CONFIMPRESA";"11/12/2025";"01/01/2026";"";"31/12/2031";"LAVORO DOMESTICO - Colf, Badanti e Baby Sitter"
"CCNL per i dipendenti dei settori del credito - finanza - assicurazioni";"Testo definitivo";"Credito Assicurazioni";"UNSIC; CIU UNIONQUADRI; FEDERDAT; ATECA; UNSICOOP; CONFIAL; FIADEL SP; CONSIL; FLAI";"02/12/2025";"01/12/2025";"";"30/11/2028";"CREDITO, FINANAZA, ASSICURAZIONI"
"CCNL per i dipendenti degli studi e delle attività professionali nonché dei dipendenti dei CAF, delle Società di servizi CAF, degli Istituti di Patronato e dei Centri Elaborazione Dati";"Testo definitivo";"Commercio";"FEDERAZIENDE; FEDIMPRESE; SNAPEL; FEDERDIPENDENTI; CONFSIN";"23/12/2025";"01/01/2026";"";"31/12/2028";"Studi e attività professionali"
"CCNL per gli operai e impiegati agricoli e florovivaisti";"Testo definitivo";"Agricoltura";"CILA; ITALIMPRESE; CAI AGROMEC; ALADI";"12/12/2025";"01/01/2026";"";"31/12/2029";"AGRICOLTURA: Operai e Impiegati agricoli e Florovivaisti"
"CCNL per la Formazione Professionale";"Testo definitivo";"Enti e Istituzioni Private";"FORMA; CENFOP; FLC CGIL; CISL SCUOLA; UIL SCUOLA RUA; SNALS CONFSAL";"01/03/2024";"01/01/2024";"";"31/12/2027";"SCUOLE (Formazione Professionale sistema regionale)"
