type|code|description|section
CLASS|15.20.10|Fabbricazione di calzature| escluse parti in cuoio per calzature|C
CLASS|15.20.2|Fabbricazione di parti in cuoio per calzature|C
CLASS|15.20.20|Fabbricazione di parti in cuoio per calzature|C
DIVISION|16|Produzione e lavorazione del legno e dei prodotti a base di legno e sughero||C
GROUP|16.1|Taglio e piallatura del legno; lavorazione e finitura del legno|C
GROUP|16.11|Taglio e piallatura del legno|C
CLASS|16.11.0|Taglio e piallatura del legno|C
CLASS|16.11.00|Taglio e piallatura del legno|C
GROUP|16.12|Lavorazione e finitura del legno|C
CLASS|16.12.0|Lavorazione e finitura del legno|C
